id,country,lat,lon,elev,SOC_pct,A_control,B_gain,C_base,ceiling,k_perkgN,citation
Tan_Lub_Maiz_2010-11_N,Tanzania,-6.46,38.33,270,-9,3.229,1.683,0.987,4.912,0.01308523954865548,data- Tanzania.xlsx
Tan_Nya_Maiz_2010-11_N,Tanzania,-1.417,34.517,1392,-9,1.78,0.66,0.981,2.44,0.019182819416773987,data- Tanzania.xlsx
Tan_Sul_Maiz_2010-12_N,Tanzania,-10.58,36.13,790,-9,4.705,2.109,0.99,6.814,0.01005033585350145,data- Tanzania.xlsx
Tan_Mbi_Maiz_2010-12_N,Tanzania,-9.08827,32.95462,1593,-9,4.239,1.602,0.991,5.841,0.00904074465214907,data- Tanzania.xlsx
Tan_Mil_Maiz_2010-12_N,Tanzania,-7.6735,31.39156,1842,-9,4.474,1.524,0.987,5.998,0.01308523954865548,data- Tanzania.xlsx
Tan_Rwa_Maiz_2011-12_N,Tanzania,-1.883,34.733,1544,-9,0.7,0,0.0001,0.7,9.210340371976182,data- Tanzania.xlsx
Tan_Mur_Maiz_2011-12_N,Tanzania,-1.35,34.617,1793,-9,1.6,0,0.0001,1.6,9.210340371976182,data- Tanzania.xlsx
Uga_Bul_Maiz_2009_N,Uganda,1.5,31.484,1020,27,3.5,2.67,0.99,6.17,0.01005033585350145,"Kaizzi et al data; Kaizzi, C.K., J. Byalebeka, O. Semalulu, "
Uga_Tor_Maiz_2009_N,Uganda,0.75,34.235,1210,12,2.561,1.569,0.99,4.13,0.01005033585350145,"Kaizzi et al data; Kaizzi, C.K., J. Byalebeka, O. Semalulu, "
Uga_Kap_Maiz_2009_N,Uganda,1.4,34.617,1880,37,3.91,2.619,0.951,6.529,0.05024121643674679,"Kaizzi et al data; Kaizzi, C.K., J. Byalebeka, O. Semalulu, "
Uga_Kwe_Maiz_2010_N,Uganda,1.826001,32.979633,1080,-9,6.072,3.479,0.966,9.551,0.03459144476961909,"Kaizzi et al data; Kaizzi, C.K., J. Byalebeka, O. Semalulu, "
Uga_Kwe_Maiz_2010_N,Uganda,1.826001,32.979633,1080,-9,4.6,1,0.95,5.6,0.05129329438755058,"Kaizzi et al data; Kaizzi, C.K., J. Byalebeka, O. Semalulu, "
Uga_Buk_Maiz_2010_N,Uganda,0.708773,33.357982,1160,-9,3.028,1.171,0.973,4.199,0.027371196796132015,"Kaizzi et al data; Kaizzi, C.K., J. Byalebeka, O. Semalulu, "
Uga_Buk_Maiz_2010_N,Uganda,0.708773,33.357982,1160,-9,2.71,1.105,0.924,3.815,0.07904320734045285,"Kaizzi et al data; Kaizzi, C.K., J. Byalebeka, O. Semalulu, "
