soc_level,region,year,yield_tha,soc_total,n_mineralized
SOC_75pct,southeast_asia,8,4.0419,32.54,125.22
SOC_75pct,southeast_asia,9,4.0394,32.51,124.98
SOC_75pct,southeast_asia,10,4.0371,32.49,124.78
SOC_75pct,southeast_asia,11,4.0351,32.47,124.60
SOC_75pct,southeast_asia,12,4.0332,32.44,124.45
SOC_75pct,southeast_asia,13,4.0315,32.42,124.31
SOC_75pct,southeast_asia,14,4.0298,32.40,124.18
SOC_75pct,southeast_asia,15,4.0282,32.38,124.06
SOC_75pct,southeast_asia,16,4.0267,32.36,123.95
SOC_75pct,southeast_asia,17,4.0253,32.34,123.85
SOC_75pct,southeast_asia,18,4.0239,32.32,123.75
SOC_75pct,southeast_asia,19,4.0225,32.31,123.65
SOC_75pct,southeast_asia,20,4.0212,32.29,123.56
SOC_75pct,southeast_asia,21,4.0199,32.27,123.47
SOC_75pct,southeast_asia,22,4.0187,32.25,123.39
SOC_75pct,southeast_asia,23,4.0175,32.24,123.30
SOC_75pct,southeast_asia,24,4.0163,32.22,123.22
SOC_75pct,southeast_asia,25,4.0152,32.21,123.15
SOC_75pct,southeast_asia,26,4.0141,32.19,123.07
SOC_75pct,southeast_asia,27,4.0130,32.18,123.00
SOC_75pct,southeast_asia,28,4.0120,32.16,122.93
SOC_75pct,southeast_asia,29,4.0110,32.15,122.86
SOC_75pct,southeast_asia,30,4.0100,32.14,122.79
SOC_75pct,latin_america,0,4.7140,46.59,134.48
SOC_75pct,latin_america,1,4.6519,46.57,134.48
SOC_75pct,latin_america,2,4.6329,46.55,134.09
SOC_75pct,latin_america,3,4.6289,46.53,133.71
SOC_75pct,latin_america,4,4.6261,46.52,133.42
SOC_75pct,latin_america,5,4.6238,46.50,133.20
SOC_75pct,latin_america,6,4.6220,46.49,133.03
SOC_75pct,latin_america,7,4.6205,46.47,132.89
SOC_75pct,latin_america,8,4.6193,46.46,132.78
SOC_75pct,latin_america,9,4.6182,46.45,132.70
SOC_75pct,latin_america,10,4.6172,46.44,132.62
SOC_75pct,latin_america,11,4.6163,46.43,132.56
SOC_75pct,latin_america,12,4.6155,46.42,132.50
SOC_75pct,latin_america,13,4.6148,46.41,132.45
SOC_75pct,latin_america,14,4.6141,46.40,132.41
SOC_75pct,latin_america,15,4.6135,46.39,132.36
SOC_75pct,latin_america,16,4.6128,46.38,132.33
SOC_75pct,latin_america,17,4.6122,46.37,132.29
SOC_75pct,latin_america,18,4.6117,46.36,132.25
SOC_75pct,latin_america,19,4.6111,46.35,132.22
SOC_75pct,latin_america,20,4.6106,46.35,132.19
SOC_75pct,latin_america,21,4.6100,46.34,132.16
SOC_75pct,latin_america,22,4.6095,46.33,132.13
SOC_75pct,latin_america,23,4.6090,46.32,132.10
SOC_75pct,latin_america,24,4.6086,46.32,132.07
SOC_75pct,latin_america,25,4.6081,46.31,132.04
SOC_75pct,latin_america,26,4.6077,46.30,132.02
SOC_75pct,latin_america,27,4.6072,46.29,131.99
SOC_75pct,latin_america,28,4.6068,46.29,131.97
SOC_75pct,latin_america,29,4.6064,46.28,131.94
SOC_75pct,latin_america,30,4.6060,46.27,131.92
SOC_75pct,sub_saharan_africa,0,1.6511,9.48,30.17
SOC_75pct,sub_saharan_africa,1,1.4769,9.45,30.17
SOC_75pct,sub_saharan_africa,2,1.4637,9.42,29.47
SOC_75pct,sub_saharan_africa,3,1.4522,9.40,28.94
SOC_75pct,sub_saharan_africa,4,1.4430,9.38,28.52
SOC_75pct,sub_saharan_africa,5,1.4358,9.36,28.19
SOC_75pct,sub_saharan_africa,6,1.4299,9.34,27.93
SOC_75pct,sub_saharan_africa,7,1.4251,9.32,27.72
SOC_75pct,sub_saharan_africa,8,1.4211,9.30,27.54
SOC_75pct,sub_saharan_africa,9,1.4178,9.28,27.39
SOC_75pct,sub_saharan_africa,10,1.4149,9.27,27.27
SOC_75pct,sub_saharan_africa,11,1.4124,9.25,27.16
SOC_75pct,sub_saharan_africa,12,1.4101,9.24,27.07
SOC_75pct,sub_saharan_africa,13,1.4081,9.22,26.98
SOC_75pct,sub_saharan_africa,14,1.4063,9.21,26.90
SOC_75pct,sub_saharan_africa,15,1.4046,9.19,26.83
SOC_75pct,sub_saharan_africa,16,1.4030,9.18,26.77
SOC_75pct,sub_saharan_africa,17,1.4015,9.17,26.70
SOC_75pct,sub_saharan_africa,18,1.4001,9.15,26.65
SOC_75pct,sub_saharan_africa,19,1.3988,9.14,26.59
SOC_75pct,sub_saharan_africa,20,1.3975,9.13,26.54
SOC_75pct,sub_saharan_africa,21,1.3962,9.12,26.49
SOC_75pct,sub_saharan_africa,22,1.3951,9.11,26.44
SOC_75pct,sub_saharan_africa,23,1.3939,9.09,26.39
SOC_75pct,sub_saharan_africa,24,1.3928,9.08,26.35
SOC_75pct,sub_saharan_africa,25,1.3918,9.07,26.30
SOC_75pct,sub_saharan_africa,26,1.3907,9.06,26.26
SOC_75pct,sub_saharan_africa,27,1.3897,9.05,26.22
SOC_75pct,sub_saharan_africa,28,1.3887,9.04,26.18
SOC_75pct,sub_saharan_africa,29,1.3878,9.03,26.14
SOC_75pct,sub_saharan_africa,30,1.3869,9.02,26.11
SOC_75pct,fsu_central_asia,0,2.9277,36.03,47.90
SOC_75pct,fsu_central_asia,1,2.6876,35.94,47.90
SOC_75pct,fsu_central_asia,2,2.6704,35.86,47.04
SOC_75pct,fsu_central_asia,3,2.6589,35.80,46.39
SOC_75pct,fsu_central_asia,4,2.6499,35.73,45.89
SOC_75pct,fsu_central_asia,5,2.6427,35.68,45.51
SOC_75pct,fsu_central_asia,6,2.6368,35.62,45.21
SOC_75pct,fsu_central_asia,7,2.6319,35.57,44.98
SOC_75pct,fsu_central_asia,8,2.6277,35.52,44.79
SOC_75pct,fsu_central_asia,9,2.6241,35.48,44.63
SOC_75pct,fsu_central_asia,10,2.6208,35.43,44.49
SOC_75pct,fsu_central_asia,11,2.6179,35.39,44.38
SOC_75pct,fsu_central_asia,12,2.6152,35.35,44.27
SOC_75pct,fsu_central_asia,13,2.6127,35.31,44.18
SOC_75pct,fsu_central_asia,14,2.6103,35.27,44.09
SOC_75pct,fsu_central_asia,15,2.6081,35.23,44.02
SOC_75pct,fsu_central_asia,16,2.6060,35.19,43.94
SOC_75pct,fsu_central_asia,17,2.6039,35.16,43.87
SOC_75pct,fsu_central_asia,18,2.6020,35.12,43.80
SOC_75pct,fsu_central_asia,19,2.6001,35.09,43.74
SOC_75pct,fsu_central_asia,20,2.5982,35.06,43.68
SOC_75pct,fsu_central_asia,21,2.5965,35.02,43.62
SOC_75pct,fsu_central_asia,22,2.5947,34.99,43.56
SOC_75pct,fsu_central_asia,23,2.5930,34.96,43.51
SOC_75pct,fsu_central_asia,24,2.5914,34.93,43.45
SOC_75pct,fsu_central_asia,25,2.5898,34.90,43.40
SOC_75pct,fsu_central_asia,26,2.5883,34.87,43.35
SOC_75pct,fsu_central_asia,27,2.5868,34.85,43.30
SOC_75pct,fsu_central_asia,28,2.5853,34.82,43.25
SOC_75pct,fsu_central_asia,29,2.5839,34.79,43.20
SOC_75pct,fsu_central_asia,30,2.5825,34.77,43.16
SOC_50pct,north_america,0,5.6040,51.12,83.40
SOC_50pct,north_america,1,5.5074,51.10,83.40
SOC_50pct,north_america,2,5.4999,51.07,83.08
SOC_50pct,north_america,3,5.4968,51.05,82.84
SOC_50pct,north_america,4,5.4944,51.03,82.67
SOC_50pct,north_america,5,5.4926,51.02,82.53
SOC_50pct,north_america,6,5.4910,51.00,82.43
SOC_50pct,north_america,7,5.4897,50.99,82.36
SOC_50pct,north_america,8,5.4885,50.97,82.29
SOC_50pct,north_america,9,5.4875,50.96,82.24
SOC_50pct,north_america,10,5.4865,50.95,82.20
SOC_50pct,north_america,11,5.4857,50.93,82.16
SOC_50pct,north_america,12,5.4848,50.92,82.13
SOC_50pct,north_america,13,5.4841,50.91,82.10
SOC_50pct,north_america,14,5.4833,50.90,82.07
SOC_50pct,north_america,15,5.4826,50.89,82.05
SOC_50pct,north_america,16,5.4819,50.88,82.02
SOC_50pct,north_america,17,5.4813,50.87,82.00
SOC_50pct,north_america,18,5.4806,50.86,81.98
SOC_50pct,north_america,19,5.4800,50.85,81.96
SOC_50pct,north_america,20,5.4794,50.84,81.94
SOC_50pct,north_america,21,5.4788,50.83,81.92
SOC_50pct,north_america,22,5.4782,50.82,81.90
SOC_50pct,north_america,23,5.4777,50.81,81.88
SOC_50pct,north_america,24,5.4771,50.80,81.87
SOC_50pct,north_america,25,5.4766,50.79,81.85
SOC_50pct,north_america,26,5.4761,50.78,81.83
SOC_50pct,north_america,27,5.4756,50.78,81.82
SOC_50pct,north_america,28,5.4751,50.77,81.80
SOC_50pct,north_america,29,5.4746,50.76,81.79
SOC_50pct,north_america,30,5.4741,50.75,81.77
SOC_50pct,europe,0,5.1147,43.04,58.58
SOC_50pct,europe,1,4.9881,43.01,58.58
SOC_50pct,europe,2,4.9400,42.97,58.27
SOC_50pct,europe,3,4.9353,42.94,57.93
SOC_50pct,europe,4,4.9313,42.91,57.68
SOC_50pct,europe,5,4.9282,42.88,57.50
SOC_50pct,europe,6,4.9257,42.86,57.36
SOC_50pct,europe,7,4.9236,42.84,57.26
SOC_50pct,europe,8,4.9218,42.81,57.17
SOC_50pct,europe,9,4.9202,42.79,57.11
SOC_50pct,europe,10,4.9188,42.78,57.05
SOC_50pct,europe,11,4.9175,42.76,57.00
SOC_50pct,europe,12,4.9164,42.74,56.96
SOC_50pct,europe,13,4.9153,42.72,56.92
SOC_50pct,europe,14,4.9142,42.70,56.89
SOC_50pct,europe,15,4.9132,42.69,56.86
SOC_50pct,europe,16,4.9123,42.67,56.83
SOC_50pct,europe,17,4.9114,42.66,56.80
SOC_50pct,europe,18,4.9105,42.64,56.78
SOC_50pct,europe,19,4.9097,42.63,56.75
SOC_50pct,europe,20,4.9088,42.61,56.73
SOC_50pct,europe,21,4.9081,42.60,56.70
SOC_50pct,europe,22,4.9073,42.59,56.68
SOC_50pct,europe,23,4.9065,42.57,56.66
SOC_50pct,europe,24,4.9058,42.56,56.64
SOC_50pct,europe,25,4.9051,42.55,56.62
SOC_50pct,europe,26,4.9044,42.54,56.60
SOC_50pct,europe,27,4.9037,42.52,56.58
SOC_50pct,europe,28,4.9031,42.51,56.56
SOC_50pct,europe,29,4.9024,42.50,56.54
SOC_50pct,europe,30,4.9018,42.49,56.53
SOC_50pct,east_asia,0,6.0093,35.50,76.56
SOC_50pct,east_asia,1,5.8311,35.47,76.56
SOC_50pct,east_asia,2,5.8237,35.44,76.06
SOC_50pct,east_asia,3,5.8212,35.42,75.70
SOC_50pct,east_asia,4,5.8192,35.40,75.44
SOC_50pct,east_asia,5,5.8176,35.38,75.25
SOC_50pct,east_asia,6,5.8162,35.36,75.11
SOC_50pct,east_asia,7,5.8149,35.34,75.00
SOC_50pct,east_asia,8,5.8137,35.33,74.92
SOC_50pct,east_asia,9,5.8126,35.31,74.85
SOC_50pct,east_asia,10,5.8116,35.30,74.80
SOC_50pct,east_asia,11,5.8106,35.29,74.75
SOC_50pct,east_asia,12,5.8096,35.27,74.71
SOC_50pct,east_asia,13,5.8087,35.26,74.67
SOC_50pct,east_asia,14,5.8078,35.25,74.64
SOC_50pct,east_asia,15,5.8070,35.24,74.60
SOC_50pct,east_asia,16,5.8062,35.23,74.57
SOC_50pct,east_asia,17,5.8054,35.22,74.54
SOC_50pct,east_asia,18,5.8046,35.20,74.52
SOC_50pct,east_asia,19,5.8038,35.19,74.49
SOC_50pct,east_asia,20,5.8031,35.18,74.46
SOC_50pct,east_asia,21,5.8024,35.17,74.44
SOC_50pct,east_asia,22,5.8017,35.16,74.42
SOC_50pct,east_asia,23,5.8010,35.16,74.39
SOC_50pct,east_asia,24,5.8004,35.15,74.37
SOC_50pct,east_asia,25,5.7997,35.14,74.35
SOC_50pct,east_asia,26,5.7991,35.13,74.33
SOC_50pct,east_asia,27,5.7985,35.12,74.31
SOC_50pct,east_asia,28,5.7979,35.11,74.29
SOC_50pct,east_asia,29,5.7973,35.10,74.27
SOC_50pct,east_asia,30,5.7968,35.10,74.25
SOC_50pct,south_asia,0,3.2577,25.55,82.93
SOC_50pct,south_asia,1,3.0184,25.50,82.93
SOC_50pct,south_asia,2,2.9664,25.44,81.60
SOC_50pct,south_asia,3,2.9572,25.39,80.39
SOC_50pct,south_asia,4,2.9512,25.35,79.51
SOC_50pct,south_asia,5,2.9464,25.31,78.85
SOC_50pct,south_asia,6,2.9426,25.27,78.35
SOC_50pct,south_asia,7,2.9394,25.24,77.97
