region,soc_pct,total_penalty,ctrl_penalty,yield_shock,yield_noshock
southeast_asia,120,2.6048512969570448,3.5253152453262215,4.096378784638535,4.2460659965412155
latin_america,10,43.34079822526514,3.7981266184420215,2.6709568603363363,2.776408365503163
latin_america,20,38.91870632050046,3.54768743450532,2.879417557630095,2.9853276516048948
latin_america,30,34.4394756639551,3.319836767596296,3.090571818127699,3.1966969384386092
latin_america,40,29.909563889576816,3.107612320691211,3.3041152241678673,3.410087524216782
latin_america,50,25.33618012689136,2.9077139334415802,3.5197079320295317,3.6251159331202807
latin_america,60,20.726530161216672,2.718545231332714,3.7370102556400657,3.8414415825982218
latin_america,70,16.08748691957175,2.5393385091303955,3.955698200114314,4.058763956250076
latin_america,80,11.425427993973658,2.3697138166478338,4.175471121027066,4.276819503719803
latin_america,90,6.746159248493678,2.209449362592819,4.396055325633179,4.495378435829754
latin_america,100,2.054888706197977,2.054888706197977,4.61720530385659,4.714074283918617
latin_america,110,1.2966258116241747,1.8522663953652097,4.6529503799741905,4.740761919900783
latin_america,120,0.6882440579957683,1.7749127410946142,4.68162994777004,4.766226305740023
sub_saharan_africa,10,32.649548285949294,6.667044957329282,1.0024082944982884,1.0740132400608116
sub_saharan_africa,20,29.72240274442325,6.428052358516623,1.0459743715676313,1.1178290053074817
sub_saharan_africa,30,26.75593574978602,6.20428504228141,1.0901256882270176,1.1622339983424899
sub_saharan_africa,40,23.750419895007635,5.993589324643544,1.1348581873476946,1.2072136136192197
sub_saharan_africa,50,20.706420600459406,5.794423023888418,1.1801634535136454,1.2527532778796189
sub_saharan_africa,60,17.624648369640727,5.605589815846857,1.2260309119687558,1.2988384689060548
sub_saharan_africa,70,14.505898351825175,5.426121240412851,1.272448728134238,1.3454547331921154
sub_saharan_africa,80,11.351018616673558,5.255211044593211,1.3194042797924133,1.3925877025420499
sub_saharan_africa,90,8.160891157148642,5.092174212033784,1.3668844398292226,1.44022310961267
sub_saharan_africa,100,4.936419518884028,4.936419518884028,1.41487576035212,1.4883468024152318
sub_saharan_africa,110,2.9732539847228012,4.697033962538855,1.4440944718059265,1.5152670812346911
sub_saharan_africa,120,1.3738094474504692,4.569882252072189,1.4678997534328244,1.5381933796940104
fsu_central_asia,10,47.70875716184312,6.948885323456622,1.4552681564131584,1.5639448935908418
fsu_central_asia,20,43.47656965395831,6.776260660111156,1.5730501668973331,1.6873922651419024
fsu_central_asia,30,39.13876884392135,6.631706906236845,1.6937714013733982,1.814075576676189
fsu_central_asia,40,34.69419762415827,6.504215013910497,1.8174640622086053,1.9438994629319508
fsu_central_asia,50,30.1428860624952,6.386713012632351,1.9441273126137044,2.0767642876123436
fsu_central_asia,60,25.485573504882552,6.2744448991661645,2.0737405765503416,2.2125668653755377
fsu_central_asia,70,20.723520895579995,6.164185629088614,2.206268761870606,2.351201166272968
fsu_central_asia,80,15.858411541173878,6.053777401230187,2.3416650220598685,2.492558995225138
fsu_central_asia,90,10.892287059678207,5.941827459494209,2.4798725387768146,2.636530640342674
fsu_central_asia,100,5.82749924590521,5.82749924590521,2.6208258614428215,2.7830054851005572
fsu_central_asia,110,4.3562715309212185,5.390500986810509,2.6617702094491458,2.813428077743091
fsu_central_asia,120,3.5717875043213443,5.310780449966335,2.683602442939158,2.8341161282052236
