region,year,price_linear,price_realized,dprice_pp,yloss_linear_pct,yloss_realized_pct,dyield_pp,dfert_pct
latin_america,2,1.0329625024347024,1.042974314373815,1.0011811939112603,2.1965516117221195,2.1899431963094296,0.006608415412689972,0.09650312666906746
latin_america,5,1.0379936399122176,1.0469306494295159,0.8937009517298256,2.393851063941277,2.384631596422915,0.009219467518362112,0.08576710706433843
latin_america,10,1.041123929398961,1.0492605618565523,0.8136632457591331,2.507738627971867,2.498760377153786,0.008978250818081346,0.07787889308286111
latin_america,20,1.04302749766632,1.0507744056792145,0.774690801289446,2.581531979313423,2.5727076432192297,0.008824336094193086,0.07402620449914465
latin_america,30,1.043960366298303,1.0515428566511036,0.7582490352800564,2.6189558332989415,2.61018225370514,0.00877357959380154,0.07239566841334977
sub_saharan_africa,1,1.0535386983302817,1.0503056617794544,-0.3233036550827295,3.5009758286640325,3.5017431971858692,-0.0007673685218367865,-0.00921995023731581
sub_saharan_africa,2,1.0394873205004977,1.057528546901853,1.8041226401355193,3.98505376783137,3.9808487603040343,0.00420500752733588,0.05163431311256961
sub_saharan_africa,5,1.0500793470307768,1.0659720323859225,1.5892685355145764,4.538589162668916,4.5338067590657065,0.004782403603209584,0.04507423372743791
sub_saharan_africa,10,1.0576490078043503,1.0719496411384992,1.4300633334148882,4.925521099819374,4.920726596845315,0.004794502974059256,0.04029978995865324
sub_saharan_africa,20,1.0629926703347923,1.076450257433383,1.3457587098590684,5.214367669739661,5.209594259347328,0.004773410392333588,0.037748998150965996
sub_saharan_africa,30,1.0657259199239704,1.0788376097904193,1.311168986644895,5.366759354895989,5.3619793996590115,0.004779955236977607,0.036690706511244287
fsu_central_asia,1,1.091627117263009,1.1028912511995073,1.1264133936498277,4.47295225594223,4.45184654467009,0.021105711272140226,0.10271061581370589
fsu_central_asia,2,1.0844256068577904,1.1121129625810582,2.768735572326775,4.8750868021263605,4.821082705982505,0.05400409614385593,0.25243130777528044
fsu_central_asia,5,1.1005485947530271,1.122898010804642,2.234941605161489,5.29740164875947,5.247264970757881,0.05013667800158883,0.20124297369243926
fsu_central_asia,10,1.1103306148653929,1.1295562508434889,1.9225635978096012,5.553163316483134,5.5073902841620175,0.04577303232111696,0.1718177881427918
fsu_central_asia,20,1.1161975082185591,1.1339807703798608,1.778326216130166,5.722429896629144,5.679009208427821,0.043420688201323276,0.15818919565546707
fsu_central_asia,30,1.1192916135844635,1.1364440265012055,1.7152412916741966,5.816688756850308,5.774129865606881,0.042558891243427155,0.15219685200311694
