region,year,price_reported,price_econ_consistent,err_pp
europe,20,1.1024460405098477,1.1124365293810878,-0.99904888712401
europe,21,1.1025895384296025,1.1125376911591325,-0.994815272952998
europe,22,1.1027265539870361,1.1126344953094554,-0.9907941322419234
europe,23,1.102857752744897,1.1127273475553312,-0.9869594810434146
europe,24,1.1029836437691494,1.1128165624676747,-0.9832918698525317
europe,25,1.1031046256064827,1.112902390057134,-0.9797764450651281
europe,26,1.103221018340695,1.1129850343216623,-0.9764015980967322
europe,27,1.103333085957282,1.1130646661930845,-0.9731580235802451
europe,28,1.103441051960382,1.1131414325837434,-0.9700380623361538
europe,29,1.1035451102915017,1.1132154627174358,-0.9670352425934059
europe,30,1.1036454329765808,1.1132868725689455,-0.9641439592364742
east_asia,1,1.0200971860164658,1.0245116998890251,-0.44145138725593114
east_asia,2,1.029191485012642,1.026483618216817,0.2707866795824909
east_asia,3,1.0301318100201136,1.026669113033056,0.34626969870574786
east_asia,4,1.0303083357442993,1.0267370945126078,0.3571241231691502
east_asia,5,1.0304052647695936,1.0267830766417718,0.36221881278217793
east_asia,6,1.0304725769033602,1.0268171832453439,0.36553936580163704
east_asia,7,1.0305210925119457,1.0268433333173392,0.3677759194606445
east_asia,8,1.0305568817933335,1.0268640193146004,0.36928624787331277
east_asia,9,1.0305839793129146,1.0268809185158194,0.3703060797095148
east_asia,10,1.030605107740857,1.026895165658885,0.3709942081971951
east_asia,11,1.030622107363237,1.0269075296369898,0.3714577726247059
east_asia,12,1.0306362230813342,1.0269185324223589,0.37176906589753145
east_asia,13,1.0306482980278695,1.0269285293164676,0.3719768711401894
east_asia,14,1.0306589042289653,1.0269377630982968,0.37211411306685704
east_asia,15,1.030668430758931,1.0269464005534423,0.372203020548878
east_asia,16,1.0306771432045465,1.0269545571142913,0.372258609025522
east_asia,17,1.0306852237715087,1.0269623134800112,0.37229102914975165
east_asia,18,1.030692798333197,1.0269697268271656,0.3723071506031461
east_asia,19,1.0306999546729607,1.026976838372302,0.3723116300658802
east_asia,20,1.0307067547877193,1.0269836784745185,0.37230763132007905
east_asia,21,1.0307132431870636,1.0269902700791975,0.37229731078660677
east_asia,22,1.0307194524922003,1.0269966310431624,0.3722821449037905
east_asia,23,1.030725407214262,1.0270027757055586,0.37226315087033335
east_asia,24,1.0307311263050165,1.0270087159500725,0.3722410354944028
east_asia,25,1.03073662487981,1.0270144619241077,0.37221629557022684
east_asia,26,1.0307419153823332,1.0270200225265735,0.3721892855759634
east_asia,27,1.030747008372959,1.0270254057395731,0.37216026333859453
east_asia,28,1.030751913063195,1.0270306188547458,0.3721294208449244
east_asia,29,1.030756637678865,1.0270356686284978,0.3720969050367229
east_asia,30,1.0307611897077276,1.0270405613891882,0.3720628318539365
south_asia,1,1.0644836962318673,1.0486943365467478,1.578935968511952
south_asia,2,1.0645548055070029,1.0827568048385914,-1.8201999331588503
south_asia,3,1.0712525656185554,1.0852513902033705,-1.399882458481505
south_asia,4,1.0736642673087442,1.086475984273566,-1.2811716964821862
south_asia,5,1.0753350464662628,1.087380131099549,-1.204508463328624
south_asia,6,1.076561652969963,1.0880493341558743,-1.1487681185911258
south_asia,7,1.077475106585672,1.088552286872574,-1.1077180286902077
south_asia,8,1.078167717102368,1.0889379198431246,-1.0770202740756574
south_asia,9,1.0787041516014038,1.0892404114882759,-1.0536259886872124
south_asia,10,1.079129574507822,1.0894836093928566,-1.0354034885034613
south_asia,11,1.0794755114153989,1.08968415507788,-1.0208643662481087
south_asia,12,1.0797639750004766,1.0898536714613096,-1.008969646083302
south_asia,13,1.080010353205543,1.0900002898497512,-0.9989936644208219
south_asia,14,1.080225424881288,1.0901297136474184,-0.9904288766130476
south_asia,15,1.0804167636056254,1.0902459582720143,-0.9829194666388874
south_asia,16,1.0805897140435212,1.0903518653415771,-0.976215129805591
south_asia,17,1.0807480703889103,1.0904494597714134,-0.970138938250309
south_asia,18,1.0808945475201517,1.0905401976802571,-0.9645650160105435
south_asia,19,1.0810311080941029,1.0906251384624919,-0.9594030368389017
south_asia,20,1.0811591895977604,1.0907050642228555,-0.9545874625095152
south_asia,21,1.0812798619629582,1.0907805626885294,-0.9500700725571187
south_asia,22,1.081393937003562,1.0908520847861387,-0.9458147782576809
south_asia,23,1.0815020444329813,1.0909199846467619,-0.9417940213780618
south_asia,24,1.0816046847019525,1.0909845474240105,-0.9379862722058041
south_asia,25,1.0817022657595239,1.0910460086597935,-0.9343742900269625
south_asia,26,1.0817951286631535,1.0911045677873972,-0.9309439124243646
south_asia,27,1.081883565453551,1.0911603975673594,-0.9276832113808364
south_asia,28,1.0819678316624637,1.09121365070095,-0.9245819038486314
south_asia,29,1.082048155095296,1.091264464484255,-0.921630938895901
south_asia,30,1.0821247420268794,1.091312964101182,-0.9188222074302699
southeast_asia,1,1.0546995701665056,1.0580872638738372,-0.3387693707331607
southeast_asia,2,1.0521757222458838,1.0653269664965095,-1.3151244250625638
southeast_asia,3,1.0554041501799887,1.0672871340279477,-1.188298384795905
southeast_asia,4,1.0576690814287184,1.068603128931429,-1.0934047502710653
southeast_asia,5,1.0593445467605698,1.0695856738362426,-1.0241127075672818
southeast_asia,6,1.0606032630306863,1.0703347971748516,-0.9731534144165277
