scenario,region,year,cap_binding,y_realized_pct,y_demand_pct,y_supply_pct,solver_residual_pp,realized_minus_econ_pp,elasticity_lag_pp,price_index_reported,price_index_on_realized,price_index_error_pp,eta,clearing_residual
SC1_20pct,europe,20,1,-4.1829365299381305,-4.680475971669051,-4.680475971669051,0.0,0.4975394417309209,0.003187746523136692,1.1467807271025328,1.1298490093657207,1.6931717736812013,-0.35,0.0
SC1_20pct,europe,21,1,-4.186843249377981,-4.688020651245617,-4.688020651245617,0.0,0.5011774018676363,0.0030299646623294096,1.1470401077525412,1.1299806396691503,1.7059468083390872,-0.35,0.0
SC1_20pct,europe,22,1,-4.190580547165501,-4.695219427602282,-4.695219427602282,0.0,0.5046388804367807,0.002891455685802291,1.1472876703415358,1.1301065809726825,1.718108936885332,-0.35,0.0
SC1_20pct,europe,23,1,-4.194164615853769,-4.702109093996187,-4.702109093996187,0.0,0.5079444781424192,0.002767461472949484,1.1475246703387691,1.1302273764872162,1.7297293851552986,-0.35,0.0
SC1_20pct,europe,24,1,-4.1976080188034555,-4.708717809201646,-4.708717809201646,0.0,0.5111097903981898,0.0026546042410924287,1.1477520679094675,1.1303434474982776,1.7408620411189846,-0.35,0.0
SC1_20pct,europe,25,1,-4.200920727672575,-4.715067583185483,-4.715067583185483,0.0,0.5141468555129092,0.0025504773418311144,1.1479706129473506,1.1304551282316362,1.7515484715714402,-0.35,0.0
SC1_20pct,europe,26,1,-4.204110853154985,-4.721176027076435,-4.721176027076435,0.0,0.5170651739214494,0.002453357699089276,1.1481809049618534,1.1305626904144188,1.7618214547434619,-0.35,0.0
SC1_20pct,europe,27,1,-4.207185160010818,-4.727057585884475,-4.727057585884465,-1.1102230246251565e-14,0.5198724258736576,0.0023620037117894066,1.1483834352760778,1.1306663605880054,1.7717074688072376,-0.35,0.0
SC1_20pct,europe,28,1,-4.210149430402222,-4.732724407541022,-4.732724407541033,1.1102230246251565e-14,0.5225749771388011,0.002275513206073665,1.1485786167809826,1.1307663323224086,1.7812284458573968,-0.35,0.0
SC1_20pct,europe,29,1,-4.213008720543199,-4.738186956215351,-4.738186956215351,0.0,0.5251782356721524,0.0021932235820198986,1.1487668049356936,1.1308627748441191,1.7904030091574485,-0.35,0.0
SC1_20pct,europe,30,1,-4.215767542307203,-4.743454445795281,-4.743454445795281,0.0,0.5276869034880782,0.0021146416092326925,1.148948312609304,1.130955839140724,1.7992473468580128,-0.35,0.0
SC1_20pct,east_asia,1,1,-1.022092675632269,-0.9458031384665944,-0.9458031384665944,0.0,-0.07628953716567466,3.0783135735793854,1.0213424326717115,1.023092642438064,-0.17502097663524285,-0.45,0.0
SC1_20pct,east_asia,2,1,-1.0577737942029874,-1.4016551934098676,-1.4016551934098676,0.0,0.3438813992068801,0.27268375779670034,1.031865416013144,1.0239127200076625,0.795269600548143,-0.45,0.0
SC1_20pct,east_asia,3,1,-1.0607914530111229,-1.4528620978531248,-1.4528620978531248,0.0,0.39207064484200194,0.02673669160597053,1.0330572971360734,1.0239821201277486,0.9075177008324831,-0.45,0.0
SC1_20pct,east_asia,4,1,-1.0629866682095646,-1.462508850479427,-1.462508850479427,0.0,0.39952218226986247,0.008080222406640913,1.0332820563577378,1.0240326099745913,0.9249446383146509,-0.45,0.0
SC1_20pct,east_asia,5,1,-1.0646125865159894,-1.4675699978025536,-1.4675699978025536,0.0,0.40295741128656415,0.005027727259460102,1.0334000041434002,1.0240700083465581,0.9329995796842017,-0.45,0.0
SC1_20pct,east_asia,6,1,-1.0658453758069397,-1.4710512839088197,-1.4710512839088197,0.0,0.40520590810187995,0.0035696199106247106,1.033481145299326,1.0240983655269873,0.9382779772338701,-0.45,0.0
SC1_20pct,east_asia,7,1,-1.0668079082082893,-1.4735572466436975,-1.4735572466436975,0.0,0.40674933843540817,0.0026165165294925186,1.0335395595217185,1.0241205069269645,0.9419052594753952,-0.45,0.0
SC1_20pct,east_asia,8,1,-1.067583643884118,-1.47540505774848,-1.47540505774848,0.0,0.4078214138643621,0.001968147549734345,1.0335826352355104,1.0241383518951568,0.9444283340353632,-0.45,0.0
SC1_20pct,east_asia,9,1,-1.0682291146073775,-1.4768033224694332,-1.4768033224694332,0.0,0.4085742078620558,0.0015234318844467576,1.0336152329658643,1.024153200601324,0.946203236454024,-0.45,0.0
SC1_20pct,east_asia,10,1,-1.0687826342220874,-1.4778927318927493,-1.4778927318927493,0.0,0.40911009767066187,0.0012162817329658404,1.0336406313891806,1.0241659342704188,0.947469711876181,-0.45,0.0
SC1_20pct,east_asia,11,1,-1.0692702077246596,-1.4787684343050556,-1.4787684343050556,0.0,0.4094982265803959,0.0010022106508758566,1.0336610481166588,1.02417715104529,0.9483897071368874,-0.45,0.0
SC1_20pct,east_asia,12,1,-1.0697095254718958,-1.479494836995865,-1.479494836995865,0.0,0.40978531152396913,0.0008511923642304242,1.0336779844115997,1.024187257834573,0.9490726577026765,-0.45,0.0
SC1_20pct,east_asia,13,1,-1.0701126609377498,-1.4801155885594386,-1.4801155885594386,0.0,0.4100029276216888,0.0007429557377244822,1.0336924577379083,1.0241965323542825,0.9495925383625758,-0.45,0.0
