test_family,case,region,horizon_year,low_soc_loss_pct,high_soc_loss_pct,monotone_pass,domain_pass
WHC x soil-N-response structural grid,WHC_2.3_epsFN_-0.5,southeast_asia,10,4.45098,3.06304,True,True
WHC x soil-N-response structural grid,WHC_2.3_epsFN_-0.5,latin_america,10,2.77232,2.07293,True,True
WHC x soil-N-response structural grid,WHC_2.3_epsFN_-0.5,sub_saharan_africa,10,4.62445,4.56473,True,True
WHC x soil-N-response structural grid,WHC_2.3_epsFN_-0.5,fsu_central_asia,10,5.53784,4.63764,True,True
WHC x soil-N-response structural grid,WHC_2.3_epsFN_-1,north_america,10,1.92695,1.36808,True,True
WHC x soil-N-response structural grid,WHC_2.3_epsFN_-1,europe,10,3.57989,2.8023,True,True
WHC x soil-N-response structural grid,WHC_2.3_epsFN_-1,east_asia,10,2.4171,0.594869,True,True
WHC x soil-N-response structural grid,WHC_2.3_epsFN_-1,south_asia,10,5.45615,3.69417,True,True
WHC x soil-N-response structural grid,WHC_2.3_epsFN_-1,southeast_asia,10,4.15511,2.90424,True,True
WHC x soil-N-response structural grid,WHC_2.3_epsFN_-1,latin_america,10,2.47222,2.0618,True,True
WHC x soil-N-response structural grid,WHC_2.3_epsFN_-1,sub_saharan_africa,10,3.8761,4.72149,False,True
WHC x soil-N-response structural grid,WHC_2.3_epsFN_-1,fsu_central_asia,10,4.90551,4.38694,True,True
WHC x soil-N-response structural grid,WHC_3.48_epsFN_0,north_america,10,2.10281,1.5329,True,True
WHC x soil-N-response structural grid,WHC_3.48_epsFN_0,europe,10,4.01886,3.32018,True,True
WHC x soil-N-response structural grid,WHC_3.48_epsFN_0,east_asia,10,1.34471,1.09157,True,True
WHC x soil-N-response structural grid,WHC_3.48_epsFN_0,south_asia,10,5.60336,4.65554,True,True
WHC x soil-N-response structural grid,WHC_3.48_epsFN_0,southeast_asia,10,4.66484,3.19273,True,True
WHC x soil-N-response structural grid,WHC_3.48_epsFN_0,latin_america,10,3.08502,2.06246,True,True
WHC x soil-N-response structural grid,WHC_3.48_epsFN_0,sub_saharan_africa,10,5.59353,4.37319,True,True
WHC x soil-N-response structural grid,WHC_3.48_epsFN_0,fsu_central_asia,10,6.27853,4.86043,True,True
WHC x soil-N-response structural grid,WHC_3.48_epsFN_-0.25,north_america,10,2.08338,1.49606,True,True
WHC x soil-N-response structural grid,WHC_3.48_epsFN_-0.25,europe,10,3.9479,3.19132,True,True
WHC x soil-N-response structural grid,WHC_3.48_epsFN_-0.25,east_asia,10,1.65536,0.952948,True,True
WHC x soil-N-response structural grid,WHC_3.48_epsFN_-0.25,south_asia,10,5.67497,4.41255,True,True
WHC x soil-N-response structural grid,WHC_3.48_epsFN_-0.25,southeast_asia,10,4.57744,3.13146,True,True
WHC x soil-N-response structural grid,WHC_3.48_epsFN_-0.25,latin_america,10,2.93083,2.07017,True,True
WHC x soil-N-response structural grid,WHC_3.48_epsFN_-0.25,sub_saharan_africa,10,5.07792,4.47293,True,True
WHC x soil-N-response structural grid,WHC_3.48_epsFN_-0.25,fsu_central_asia,10,5.90106,4.75277,True,True
WHC x soil-N-response structural grid,WHC_3.48_epsFN_-0.5,north_america,10,2.04439,1.45599,True,True
WHC x soil-N-response structural grid,WHC_3.48_epsFN_-0.5,europe,10,3.84346,3.0612,True,True
WHC x soil-N-response structural grid,WHC_3.48_epsFN_-0.5,east_asia,10,1.94742,0.824003,True,True
WHC x soil-N-response structural grid,WHC_3.48_epsFN_-0.5,south_asia,10,5.66094,4.1704,True,True
WHC x soil-N-response structural grid,WHC_3.48_epsFN_-0.5,southeast_asia,10,4.45704,3.06228,True,True
WHC x soil-N-response structural grid,WHC_3.48_epsFN_-0.5,latin_america,10,2.77565,2.0725,True,True
WHC x soil-N-response structural grid,WHC_3.48_epsFN_-0.5,sub_saharan_africa,10,4.62659,4.56465,True,True
WHC x soil-N-response structural grid,WHC_3.48_epsFN_-0.5,fsu_central_asia,10,5.54533,4.6365,True,True
WHC x soil-N-response structural grid,WHC_3.48_epsFN_-1,north_america,10,1.93002,1.36796,True,True
WHC x soil-N-response structural grid,WHC_3.48_epsFN_-1,europe,10,3.58264,2.80244,True,True
WHC x soil-N-response structural grid,WHC_3.48_epsFN_-1,east_asia,10,2.41654,0.596566,True,True
WHC x soil-N-response structural grid,WHC_3.48_epsFN_-1,south_asia,10,5.46005,3.69647,True,True
WHC x soil-N-response structural grid,WHC_3.48_epsFN_-1,southeast_asia,10,4.16106,2.9039,True,True
WHC x soil-N-response structural grid,WHC_3.48_epsFN_-1,latin_america,10,2.47556,2.06137,True,True
WHC x soil-N-response structural grid,WHC_3.48_epsFN_-1,sub_saharan_africa,10,3.87843,4.72096,False,True
WHC x soil-N-response structural grid,WHC_3.48_epsFN_-1,fsu_central_asia,10,4.91271,4.38598,True,True
WHC x soil-N-response structural grid,WHC_8.4_epsFN_0,north_america,10,2.1176,1.53189,True,True
WHC x soil-N-response structural grid,WHC_8.4_epsFN_0,europe,10,4.03422,3.31923,True,True
WHC x soil-N-response structural grid,WHC_8.4_epsFN_0,east_asia,10,1.34928,1.09248,True,True
WHC x soil-N-response structural grid,WHC_8.4_epsFN_0,south_asia,10,5.62394,4.65802,True,True
WHC x soil-N-response structural grid,WHC_8.4_epsFN_0,southeast_asia,10,4.69218,3.18841,True,True
WHC x soil-N-response structural grid,WHC_8.4_epsFN_0,latin_america,10,3.10197,2.06101,True,True
WHC x soil-N-response structural grid,WHC_8.4_epsFN_0,sub_saharan_africa,10,5.60102,4.37493,True,True
WHC x soil-N-response structural grid,WHC_8.4_epsFN_0,fsu_central_asia,10,6.31229,4.85602,True,True
WHC x soil-N-response structural grid,WHC_8.4_epsFN_-0.25,north_america,10,2.09779,1.49515,True,True
WHC x soil-N-response structural grid,WHC_8.4_epsFN_-0.25,europe,10,3.96219,3.19057,True,True
WHC x soil-N-response structural grid,WHC_8.4_epsFN_-0.25,east_asia,10,1.65718,0.955661,True,True
WHC x soil-N-response structural grid,WHC_8.4_epsFN_-0.25,south_asia,10,5.69343,4.41663,True,True
WHC x soil-N-response structural grid,WHC_8.4_epsFN_-0.25,southeast_asia,10,4.60373,3.12758,True,True
WHC x soil-N-response structural grid,WHC_8.4_epsFN_-0.25,latin_america,10,2.94757,2.06863,True,True
WHC x soil-N-response structural grid,WHC_8.4_epsFN_-0.25,sub_saharan_africa,10,5.08623,4.47362,True,True
WHC x soil-N-response structural grid,WHC_8.4_epsFN_-0.25,fsu_central_asia,10,5.93343,4.74797,True,True
WHC x soil-N-response structural grid,WHC_8.4_epsFN_-0.5,north_america,10,2.05872,1.45521,True,True
WHC x soil-N-response structural grid,WHC_8.4_epsFN_-0.5,europe,10,3.85718,3.06068,True,True
WHC x soil-N-response structural grid,WHC_8.4_epsFN_-0.5,east_asia,10,1.94692,0.828277,True,True
WHC x soil-N-response structural grid,WHC_8.4_epsFN_-0.5,south_asia,10,5.67815,4.17622,True,True
WHC x soil-N-response structural grid,WHC_8.4_epsFN_-0.5,southeast_asia,10,4.48273,3.05901,True,True
WHC x soil-N-response structural grid,WHC_8.4_epsFN_-0.5,latin_america,10,2.7923,2.07092,True,True
WHC x soil-N-response structural grid,WHC_8.4_epsFN_-0.5,sub_saharan_africa,10,4.63553,4.56432,True,True
WHC x soil-N-response structural grid,WHC_8.4_epsFN_-0.5,fsu_central_asia,10,5.57676,4.63166,True,True
WHC x soil-N-response structural grid,WHC_8.4_epsFN_-1,north_america,10,1.94474,1.36749,True,True
WHC x soil-N-response structural grid,WHC_8.4_epsFN_-1,europe,10,3.59601,2.80244,True,True
WHC x soil-N-response structural grid,WHC_8.4_epsFN_-1,east_asia,10,2.414,0.603146,True,True
WHC x soil-N-response structural grid,WHC_8.4_epsFN_-1,south_asia,10,5.47635,3.70599,True,True
WHC x soil-N-response structural grid,WHC_8.4_epsFN_-1,southeast_asia,10,4.18629,2.90232,True,True
WHC x soil-N-response structural grid,WHC_8.4_epsFN_-1,latin_america,10,2.49221,2.05981,True,True
WHC x soil-N-response structural grid,WHC_8.4_epsFN_-1,sub_saharan_africa,10,3.88817,4.71874,False,True
WHC x soil-N-response structural grid,WHC_8.4_epsFN_-1,fsu_central_asia,10,4.94288,4.38191,True,True
