panel_c_class,rank_in_class,iso3,fao_name,region,cropland_Mha,buffer_proxy_t_ha,exposure_combined,n_intensity_raw,import_reliance,reexport_flag
data_missing,13,SUR,Suriname,Latin America & Caribbean,0.06666666666666667,13.059587959487628,0.7249083333333333,134.945,1.0,False
data_missing,14,PRI,Puerto Rico,Latin America & Caribbean,0.0662,10.95742722706048,,27.940584088620344,,False
data_missing,15,LUX,Luxembourg,Europe,0.06362533333333334,10.255040965254228,0.8208452957242747,192.50717743456485,1.0,False
high_buffer_high_exposure,1,FRA,France,Europe,18.708959699999998,10.286872989992755,0.6080341287117539,111.97319538830372,0.8428242727958287,False
high_buffer_high_exposure,2,GBR,United Kingdom of Great Britain and Northern Ireland,Europe,6.079697133333333,14.236197924284008,0.6545915052362443,166.5653147612386,0.7539652946016934,False
high_buffer_high_exposure,3,PER,Peru,Latin America & Caribbean,5.924622833333333,9.424950224196868,0.5832516192709164,49.950971562549825,1.0,False
high_buffer_high_exposure,4,COL,Colombia,Latin America & Caribbean,4.590222233333334,9.816283152792186,0.5862935806147571,107.5041631789694,0.8142399506329496,False
high_buffer_high_exposure,5,SWE,Sweden,Europe,2.5437466666666664,13.565081136264965,0.627113898483951,76.26833909037065,1.0,False
high_buffer_high_exposure,6,ECU,Ecuador,Latin America & Caribbean,2.4213333333333336,9.724819999655482,0.6460051853891337,87.60311123348018,1.0,False
high_buffer_high_exposure,7,DNK,Denmark,Europe,2.41222,10.66774790242579,0.657324419460543,94.39465167632582,1.0,False
high_buffer_high_exposure,8,LKA,Sri Lanka,South Asia,2.3717242666666665,10.826665160186405,0.6058322856192614,63.499371371556855,1.0,False
high_buffer_high_exposure,9,MDA,Republic of Moldova,Europe,1.9892333333333332,10.590542523785912,0.5464017404806989,27.84104428841933,1.0,False
high_buffer_high_exposure,10,CHL,Chile,Latin America & Caribbean,1.9441547,10.624709915611843,0.6191392969457078,126.22795226463543,0.8175187530092974,False
high_buffer_high_exposure,11,NIC,Nicaragua,Latin America & Caribbean,1.799,9.816266373294042,0.5523235130628127,31.394107837687603,1.0,False
high_buffer_high_exposure,12,HND,Honduras,Latin America & Caribbean,1.594,9.297619307635276,0.6174215809284818,70.45294855708909,1.0,False
high_buffer_high_exposure,13,DOM,Dominican Republic,Latin America & Caribbean,1.4214826333333335,10.47813222900407,0.6447135356802772,86.82812140816634,1.0,False
high_buffer_high_exposure,14,AUT,Austria,Europe,1.3930351333333335,11.062783263658332,0.6304290307362591,78.25741844175549,1.0,False
high_buffer_high_exposure,15,LVA,Latvia,Europe,1.3246666666666667,16.91785667772727,0.6004881731253146,60.29290387518872,1.0,False
low_buffer_low_exposure,1,NGA,Nigeria,Sub-Saharan Africa,43.305171733333324,4.185050908552492,0.0187869272548082,11.272156352884942,0.0,False
low_buffer_low_exposure,2,IRN,Iran (Islamic Republic of),North Africa & West Asia,17.5,6.184099708074236,0.0777024761904761,46.62148571428571,0.0,False
low_buffer_low_exposure,3,MAR,Morocco,North Africa & West Asia,9.0163245,5.869281684986649,0.0385473654542441,23.128419272546516,0.0,True
low_buffer_low_exposure,4,BOL,Bolivia (Plurinational State of),Latin America & Caribbean,5.410978433333334,5.916986355058792,0.0057065054237808,3.4239032542684993,0.0,False
