iso3,fao_name,region,cropland_Mha,pastures_ha_lu,agland_ha_lu,n_use_t,n_intensity_raw,n_intensity_alt,import_reliance,buffer_proxy_t_ha,exposure_class_base,exposure_class_alt,panel_c_base,panel_c_alt
MDA,Republic of Moldova,Europe,1.9892333333333327,339666.6666666667,2328900.0,55382.333333333336,27.84104428841933,23.78046860463452,1.0,10.590542523785912,high,moderate,high_buffer_high_exposure,intermediate
MKD,North Macedonia,Europe,0.4586666666666666,805000.0,1263666.6666666667,19656.33333333333,42.85537790697674,15.55499868108678,1.0,8.005018112305965,high,moderate,intermediate,intermediate
MLT,Malta,Europe,0.0099566666666666,0.0,9956.666666666666,586.0,58.85503850016739,58.855038500167396,1.0,6.985601543277972,high,high,data_missing,data_missing
MNE,Montenegro,Europe,0.01475,242800.0,257550.0,1386.3333333333333,93.98870056497177,5.382773571474794,1.0,13.353764736371843,high,moderate,data_missing,data_missing
NLD,Netherlands (Kingdom of the),Europe,1.0499466666666668,768136.6666666666,1818083.3333333335,209903.66666666663,199.9184085540853,115.45327038547919,,13.500428611517815,data_missing,data_missing,data_missing,data_missing
NOR,Norway,Europe,0.806364,179135.0,985499.0,105002.0,130.21662673432843,106.54703860683776,,13.815620387130622,data_missing,data_missing,data_missing,data_missing
POL,Poland,Europe,11.429,3160333.3333333335,14589333.333333334,979866.6666666666,85.73511826639835,67.16322427344178,0.0,11.319778602422064,moderate,moderate,intermediate,intermediate
PRT,Portugal,Europe,1.8149579,2065556.3,3880514.2,103976.66666666669,57.28874849750876,26.79455899598736,0.461617351154489,8.166798868885744,moderate,moderate,intermediate,intermediate
ROU,Romania,Europe,9.13,4299666.666666667,13429666.666666668,464498.0,50.87601314348302,34.5874556330512,0.2651553024778256,9.108759646932004,moderate,low,intermediate,intermediate
RUS,Russian Federation,Europe,123.442,92052000.0,215494000.0,1728629.6666666667,14.00357792863585,8.021706714185392,0.0,12.454127031988364,low,low,high_buffer_low_exposure,high_buffer_low_exposure
SJM,Svalbard and Jan Mayen Islands,Europe,,,,,,,,,data_missing,data_missing,data_missing,data_missing
