iso3,fao_area_code,fao_name,region,cropland_ha,n_use_t,n_prod_t,n_imp_t,n_exp_t,apparent_consumption_t,net_imports_t,n_intensity_raw,n_intensity_scaled,import_reliance,exposure_combined,exposure_class,reexport_flag,data_missing_n_use,data_missing_trade,data_missing_cropland
POL,173,Poland,Europe,11429000.0,979866.6666666666,2042787.3333333333,655496.5633333334,855741.7233333333,1842542.1733333333,0.0,85.73511826639835,0.28578372755466114,0.0,0.14289186377733057,low,False,False,False,False
PRT,174,Portugal,Europe,1814957.9000000001,103976.66666666667,70024.68,141539.53333333333,81499.32333333335,130064.88999999997,60040.20999999998,57.28874849750876,0.19096249499169587,0.46161735115448904,0.32628992307309246,low,False,False,False,False
ROU,183,Romania,Europe,9130000.0,464498.0,819231.2766666667,473642.02,178037.36000000002,1114835.9366666668,295604.66000000003,50.87601314348302,0.16958671047827673,0.2651553024778256,0.21737100647805116,low,False,False,False,False
RUS,185,Russian Federation,Europe,123442000.0,1728629.6666666667,10841400.0,34111.79666666667,7096430.696666666,3779081.1000000006,0.0,14.00357792863585,0.04667859309545284,0.0,0.02333929654772642,low,False,False,False,False
SJM,260,Svalbard and Jan Mayen Islands,Europe,,,0.0,0.0,0.0,0.0,0.0,,,,,data_missing,False,True,True,True
SMR,192,San Marino,Europe,2300.0,,0.0,0.0,0.0,0.0,0.0,,,,,data_missing,False,True,True,False
SRB,272,Serbia,Europe,2794666.6666666665,163770.66666666666,79439.41666666667,206168.5266666667,70690.98333333334,214916.96000000002,135477.54333333336,58.601145038167935,0.19533715012722644,0.6303715785544954,0.4128543643408609,moderate,False,False,False,False
SVK,199,Slovakia,Europe,1365333.3333333333,128395.66666666667,336955.72000000003,155782.6,366269.4533333333,126468.86666666676,0.0,94.03979492187501,0.31346598307291673,0.0,0.15673299153645837,low,True,False,False,False
SVN,198,Slovenia,Europe,234720.0,27777.333333333332,0.0,53465.676666666666,12269.12,41196.556666666664,41196.556666666664,118.342422176778,0.39447474058926,1.0,0.69723737029463,high,False,False,False,False
SWE,210,Sweden,Europe,2543746.6666666665,194007.33333333334,0.0,248789.28000000003,76242.62666666666,172546.65333333338,172546.65333333338,76.26833909037065,0.25422779696790215,1.0,0.627113898483951,moderate,False,False,False,False
UKR,230,Ukraine,Europe,33768666.666666664,1529514.0,983471.5,665849.6566666667,434010.89999999997,1215310.2566666668,231838.75666666677,45.293881902355245,0.15097960634118415,0.1907650786249022,0.17087234248304317,low,False,False,False,False
VAT,94,Holy See,Europe,,,0.0,0.0,0.0,0.0,0.0,,,,,data_missing,False,True,True,True
ABW,22,Aruba,Latin America & Caribbean,2000.0,1.6666666666666667,0.0,1.5833333333333333,0.006666666666666667,1.5766666666666667,1.5766666666666667,0.8333333333333334,0.002777777777777778,1.0,0.5013888888888889,moderate,False,False,False,False
AIA,258,Anguilla,Latin America & Caribbean,,,0.0,0.0,0.0,0.0,0.0,,,,,data_missing,False,True,True,True
ARG,9,Argentina,Latin America & Caribbean,42055000.0,1279800.0,502097.62999999995,892050.0433333333,308.95666666666665,1393838.7166666666,891741.0866666667,30.43157769587445,0.1014385923195815,0.6397735089460315,0.3706060506328065,moderate,False,False,False,False
ATG,8,Antigua and Barbuda,Latin America & Caribbean,5000.0,12.666666666666666,0.0,12.776666666666666,0.0,12.776666666666666,12.776666666666666,2.533333333333333,0.008444444444444444,1.0,0.5042222222222222,moderate,False,False,False,False
BHS,12,Bahamas,Latin America & Caribbean,11000.0,1024.6666666666667,0.0,1015.8666666666667,738.5633333333334,277.3033333333333,277.3033333333333,93.15151515151516,0.3105050505050505,1.0,0.6552525252525252,moderate,True,False,False,False
BLZ,23,Belize,Latin America & Caribbean,125333.33333333333,16439.333333333332,0.0,14630.470000000001,3.94,14626.53,14626.53,131.16489361702128,0.4372163120567376,1.0,0.7186081560283688,high,False,False,False,False
BOL,19,Bolivia (Plurinational State of),Latin America & Caribbean,5410978.433333334,18526.666666666668,74445.36,18825.536666666667,86857.12999999999,6413.766666666677,0.0,3.4239032542684993,0.011413010847561664,0.0,0.005706505423780832,low,True,False,False,False
BRA,21,Brazil,Latin America & Caribbean,63470000.0,5138850.0,410806.32666666666,5011885.993333333,57425.48333333333,5365266.836666667,4954460.51,80.9650228454388,0.269883409484796,0.9234322655009097,0.5966578374928528,moderate,False,False,False,False
BRB,14,Barbados,Latin America & Caribbean,8000.0,184.33333333333334,0.0,185.64333333333332,1.2833333333333332,184.35999999999999,184.35999999999999,23.041666666666668,0.07680555555555556,1.0,0.5384027777777778,moderate,False,False,False,False
CHL,40,Chile,Latin America & Caribbean,1944154.7,245406.66666666666,41801.85333333333,325212.82,137939.88333333333,229074.79,187272.93666666668,126.22795226463545,0.42075984088211815,0.8175187530092974,0.6191392969457078,moderate,False,False,False,False
COL,44,Colombia,Latin America & Caribbean,4590222.233333333,493468.0,91666.66666666667,432407.9266666667,30606.45,493468.14333333337,401801.4766666667,107.50416317896939,0.35834721059656466,0.8142399506329496,0.5862935806147571,moderate,False,False,False,False
CRI,48,Costa Rica,Latin America & Caribbean,538753.9666666667,94739.0,0.0,99284.69,4545.58,94739.11,94739.11,175.84835724952745,0.5861611908317582,1.0,0.793080595415879,high,False,False,False,False
CUB,49,Cuba,Latin America & Caribbean,3561600.0,40019.0,7500.0,22614.683333333334,46.27,30068.413333333334,22568.413333333334,11.23624213836478,0.03745414046121593,0.7505688139624704,0.3940114772118432,moderate,False,False,False,False
CYM,36,Cayman Islands,Latin America & Caribbean,700.0,,0.0,0.0,0.0,0.0,0.0,,,,,data_missing,False,True,True,False
DMA,55,Dominica,Latin America & Caribbean,23000.0,136.0,0.0,124.82666666666667,0.006666666666666667,124.82000000000001,124.82000000000001,5.913043478260869,0.01971014492753623,1.0,0.5098550724637682,moderate,False,False,False,False
DOM,56,Dominican Republic,Latin America & Caribbean,1421482.6333333335,123424.66666666667,0.0,78623.39666666667,4519.53,74103.86666666667,74103.86666666667,86.82812140816634,0.28942707136055446,1.0,0.6447135356802772,moderate,False,False,False,False
ECU,58,Ecuador,Latin America & Caribbean,2421333.3333333335,212116.33333333334,0.0,211332.34,269.93333333333334,211062.40666666668,211062.40666666668,87.60311123348018,0.29201037077826725,1.0,0.6460051853891337,moderate,False,False,False,False
FLK,65,Falkland Islands (Malvinas),Latin America & Caribbean,,,0.0,0.0,0.0,0.0,0.0,,,,,data_missing,False,True,True,True
GLP,87,Guadeloupe,Latin America & Caribbean,24188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,data_missing,False,False,False,False
GRD,86,Grenada,Latin America & Caribbean,7000.0,195.66666666666666,0.0,14.64,15.840000000000002,-1.200000000000001,0.0,27.952380952380953,0.09317460317460317,,,data_missing,True,False,False,False
GTM,89,Guatemala,Latin America & Caribbean,2720666.6666666665,190313.33333333334,0.0,198626.74666666667,8313.313333333334,190313.43333333335,190313.43333333335,69.9509924038226,0.23316997467940864,1.0,0.6165849873397043,moderate,False,False,False,False
GUF,69,French Guiana,Latin America & Caribbean,18008.0,995.3333333333334,0.0,0.0,0.0,0.0,0.0,55.271731082481864,0.1842391036082729,,,data_missing,False,False,False,False
GUY,91,Guyana,Latin America & Caribbean,125000.0,19542.0,0.0,20157.923333333336,758.65,19399.273333333334,19399.273333333334,156.336,0.52112,1.0,0.76056,high,False,False,False,False
HND,95,Honduras,Latin America & Caribbean,1594000.0,112302.0,0.0,124924.26000000001,12622.276666666667,112301.98333333334,112301.98333333334,70.45294855708909,0.23484316185696363,1.0,0.6174215809284818,moderate,False,False,False,False
HTI,93,Haiti,Latin America & Caribbean,1368333.3333333333,12007.0,0.0,12006.933333333334,0.0033333333333333335,12006.93,12006.93,8.774908647990257,0.029249695493300858,1.0,0.5146248477466504,moderate,False,False,False,False
JAM,109,Jamaica,Latin America & Caribbean,188000.0,4953.333333333333,0.0,8230.983333333334,493.28000000000003,7737.703333333334,7737.703333333334,26.347517730496453,0.08782505910165485,1.0,0.5439125295508275,moderate,False,False,False,False
KNA,188,Saint Kitts and Nevis,Latin America & Caribbean,5100.0,13.0,0.0,12.69,0.05000000000000001,12.639999999999999,12.639999999999999,2.549019607843137,0.00849673202614379,1.0,0.5042483660130719,moderate,False,False,False,False
LCA,189,Saint Lucia,Latin America & Caribbean,9570.0,259.0,0.0,259.5233333333333,0.5833333333333334,258.94,258.94,27.063740856844305,0.09021246952281435,1.0,0.5451062347614072,moderate,False,False,False,False
MEX,138,Mexico,Latin America & Caribbean,23545826.2,1351158.0,483800.0,1016490.0499999999,43698.306666666664,1456591.7433333332,972791.7433333333,57.38418301923931,0.19128061006413102,0.6678547697291973,0.42956768989666416,moderate,False,False,False,False
MSR,142,Montserrat,Latin America & Caribbean,2000.0,,0.0,0.0,0.0,0.0,0.0,,,,,data_missing,False,True,True,False
MTQ,135,Martinique,Latin America & Caribbean,15711.0,438.6666666666667,0.0,0.0,0.0,0.0,0.0,27.9209895402372,0.09306996513412401,,,data_missing,False,False,False,False
NIC,157,Nicaragua,Latin America & Caribbean,1799000.0,56478.0,0.0,56553.65333333333,75.83666666666666,56477.81666666666,56477.81666666666,31.394107837687603,0.10464702612562535,1.0,0.5523235130628127,moderate,False,False,False,False
PAN,166,Panama,Latin America & Caribbean,674366.6666666666,22023.0,0.0,35667.21666666667,290.08,35377.136666666665,35377.136666666665,32.65730809154268,0.10885769363847561,1.0,0.5544288468192378,moderate,False,False,False,False
